segment_id,orig_feature_id,direction,length,dynwd,cost,source_node,target_node,edge_idx
37:0,37,forward,96.309,2.404,109.289,24,26,72
253:0,253,forward,36.562,2.416,49.482,26,190,456
254:0,254,forward,177.491,2.416,190.411,190,191,458
255:0,255,forward,104.375,2.416,117.295,191,192,460
284:0,284,forward,20.853,1.702,37.343,192,223,518
299:0,299,forward,91.387,2.112,105.827,223,237,548
300:0,300,forward,19.552,2.296,33.072,237,238,550
301:0,301,forward,10.866,2.296,24.386000000000003,238,239,552
302:0,302,forward,5.895,1.619,22.8,239,240,554
303:0,303,forward,15.033,2.184,29.113,240,241,556
372:0,372,forward,19.891,1.235,38.715999999999994,241,292,670
376:0,376,forward,42.498,2.009,57.452999999999996,292,296,678
377:0,377,forward,32.424,1.847,48.189,296,297,680
382:0,382,forward,29.99,1.897,45.504999999999995,297,301,690
