mode,scenario_name,distance_label,target_distance_m,straight_line_distance_m,source_node,target_node,walkability_field,day_type,hour,config_file,scenario_dir
pure_sqa,d0800_dynwe21,d0800,800,799.1359807833297,179,246,dynwe21,weekend,21,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d0800_dynwe21.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d0800_dynwe21
pure_sqa,d1200_dynwd05,d1200,1200,1202.828070248327,80,314,dynwd05,weekday,05,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d1200_dynwd05.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d1200_dynwd05
pure_sqa,d1200_dynwd08,d1200,1200,1202.828070248327,80,314,dynwd08,weekday,08,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d1200_dynwd08.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d1200_dynwd08
pure_sqa,d1200_dynwd12,d1200,1200,1202.828070248327,80,314,dynwd12,weekday,12,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d1200_dynwd12.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d1200_dynwd12
pure_sqa,d1200_dynwd17,d1200,1200,1202.828070248327,80,314,dynwd17,weekday,17,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d1200_dynwd17.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d1200_dynwd17
pure_sqa,d1200_dynwd21,d1200,1200,1202.828070248327,80,314,dynwd21,weekday,21,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d1200_dynwd21.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d1200_dynwd21
pure_sqa,d1200_dynwe05,d1200,1200,1202.828070248327,80,314,dynwe05,weekend,05,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d1200_dynwe05.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d1200_dynwe05
pure_sqa,d1200_dynwe08,d1200,1200,1202.828070248327,80,314,dynwe08,weekend,08,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d1200_dynwe08.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d1200_dynwe08
pure_sqa,d1200_dynwe12,d1200,1200,1202.828070248327,80,314,dynwe12,weekend,12,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d1200_dynwe12.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d1200_dynwe12
pure_sqa,d1200_dynwe17,d1200,1200,1202.828070248327,80,314,dynwe17,weekend,17,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d1200_dynwe17.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d1200_dynwe17
pure_sqa,d1200_dynwe21,d1200,1200,1202.828070248327,80,314,dynwe21,weekend,21,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/pure_sqa/d1200_dynwe21.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/pure_sqa/d1200_dynwe21
baseline_warm_start,d0400_dynwd05,d0400,400,399.89096238073773,24,318,dynwd05,weekday,05,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0400_dynwd05.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0400_dynwd05
baseline_warm_start,d0400_dynwd08,d0400,400,399.89096238073773,24,318,dynwd08,weekday,08,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0400_dynwd08.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0400_dynwd08
baseline_warm_start,d0400_dynwd12,d0400,400,399.89096238073773,24,318,dynwd12,weekday,12,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0400_dynwd12.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0400_dynwd12
baseline_warm_start,d0400_dynwd17,d0400,400,399.89096238073773,24,318,dynwd17,weekday,17,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0400_dynwd17.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0400_dynwd17
baseline_warm_start,d0400_dynwd21,d0400,400,399.89096238073773,24,318,dynwd21,weekday,21,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0400_dynwd21.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0400_dynwd21
baseline_warm_start,d0400_dynwe05,d0400,400,399.89096238073773,24,318,dynwe05,weekend,05,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0400_dynwe05.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0400_dynwe05
baseline_warm_start,d0400_dynwe08,d0400,400,399.89096238073773,24,318,dynwe08,weekend,08,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0400_dynwe08.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0400_dynwe08
baseline_warm_start,d0400_dynwe12,d0400,400,399.89096238073773,24,318,dynwe12,weekend,12,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0400_dynwe12.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0400_dynwe12
baseline_warm_start,d0400_dynwe17,d0400,400,399.89096238073773,24,318,dynwe17,weekend,17,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0400_dynwe17.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0400_dynwe17
baseline_warm_start,d0400_dynwe21,d0400,400,399.89096238073773,24,318,dynwe21,weekend,21,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0400_dynwe21.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0400_dynwe21
baseline_warm_start,d0800_dynwd05,d0800,800,799.1359807833297,179,246,dynwd05,weekday,05,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0800_dynwd05.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0800_dynwd05
baseline_warm_start,d0800_dynwd08,d0800,800,799.1359807833297,179,246,dynwd08,weekday,08,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0800_dynwd08.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0800_dynwd08
baseline_warm_start,d0800_dynwd12,d0800,800,799.1359807833297,179,246,dynwd12,weekday,12,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0800_dynwd12.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0800_dynwd12
baseline_warm_start,d0800_dynwd17,d0800,800,799.1359807833297,179,246,dynwd17,weekday,17,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0800_dynwd17.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0800_dynwd17
baseline_warm_start,d0800_dynwd21,d0800,800,799.1359807833297,179,246,dynwd21,weekday,21,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0800_dynwd21.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0800_dynwd21
baseline_warm_start,d0800_dynwe05,d0800,800,799.1359807833297,179,246,dynwe05,weekend,05,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0800_dynwe05.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0800_dynwe05
baseline_warm_start,d0800_dynwe08,d0800,800,799.1359807833297,179,246,dynwe08,weekend,08,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0800_dynwe08.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0800_dynwe08
baseline_warm_start,d0800_dynwe12,d0800,800,799.1359807833297,179,246,dynwe12,weekend,12,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0800_dynwe12.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0800_dynwe12
baseline_warm_start,d0800_dynwe17,d0800,800,799.1359807833297,179,246,dynwe17,weekend,17,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0800_dynwe17.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0800_dynwe17
baseline_warm_start,d0800_dynwe21,d0800,800,799.1359807833297,179,246,dynwe21,weekend,21,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d0800_dynwe21.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d0800_dynwe21
baseline_warm_start,d1200_dynwd05,d1200,1200,1202.828070248327,80,314,dynwd05,weekday,05,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d1200_dynwd05.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d1200_dynwd05
baseline_warm_start,d1200_dynwd08,d1200,1200,1202.828070248327,80,314,dynwd08,weekday,08,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d1200_dynwd08.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d1200_dynwd08
baseline_warm_start,d1200_dynwd12,d1200,1200,1202.828070248327,80,314,dynwd12,weekday,12,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d1200_dynwd12.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d1200_dynwd12
baseline_warm_start,d1200_dynwd17,d1200,1200,1202.828070248327,80,314,dynwd17,weekday,17,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d1200_dynwd17.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d1200_dynwd17
baseline_warm_start,d1200_dynwd21,d1200,1200,1202.828070248327,80,314,dynwd21,weekday,21,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d1200_dynwd21.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d1200_dynwd21
baseline_warm_start,d1200_dynwe05,d1200,1200,1202.828070248327,80,314,dynwe05,weekend,05,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d1200_dynwe05.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d1200_dynwe05
baseline_warm_start,d1200_dynwe08,d1200,1200,1202.828070248327,80,314,dynwe08,weekend,08,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d1200_dynwe08.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d1200_dynwe08
baseline_warm_start,d1200_dynwe12,d1200,1200,1202.828070248327,80,314,dynwe12,weekend,12,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d1200_dynwe12.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d1200_dynwe12
baseline_warm_start,d1200_dynwe17,d1200,1200,1202.828070248327,80,314,dynwe17,weekend,17,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d1200_dynwe17.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d1200_dynwe17
baseline_warm_start,d1200_dynwe21,d1200,1200,1202.828070248327,80,314,dynwe21,weekend,21,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_warm_start/d1200_dynwe21.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_warm_start/d1200_dynwe21
baseline_plus_block_move,d0400_dynwd05,d0400,400,399.89096238073773,24,318,dynwd05,weekday,05,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_plus_block_move/d0400_dynwd05.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_plus_block_move/d0400_dynwd05
baseline_plus_block_move,d0400_dynwd08,d0400,400,399.89096238073773,24,318,dynwd08,weekday,08,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/configs/baseline_plus_block_move/d0400_dynwd08.yaml,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/path_routing/benchmarks/formal_modes_suite_01/runs/baseline_plus_block_move/d0400_dynwd08
