scenario_name,distance_label,target_distance_m,straight_line_distance_m,source_node,target_node,walkability_field,day_type,hour,warm_start_enabled,hard_overlap_mode,seed_index,seed,steps,replicas,slices,duration_sec,baseline_k_paths_found,baseline_total_cost,baseline_total_length,baseline_max_similarity,baseline_within_theta,sqa_all_paths_found,sqa_total_cost,sqa_total_length,sqa_selected_edge_count,sqa_max_similarity,sqa_max_shared_weight,sqa_within_theta,sqa_within_hard_budget,sqa_within_pathwise_ratio,sqa_feasible,sqa_matches_baseline_set,sqa_total_cost_gap_vs_baseline,k_paths_requested,run_dir,log_file,primary_outcome
d1200_dynwd05,d1200,1200,1202.828070248327,80,314,dynwd05,weekday,05,False,budget_plus_ratio,0,42,60,12,20,62.396,2,4574.8555384799865,3696.7855384799855,0.0,True,False,,,18,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d1200_dynwd05/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d1200_dynwd05__seed_042.log,no_route
d1200_dynwd08,d1200,1200,1202.828070248327,80,314,dynwd08,weekday,08,False,budget_plus_ratio,0,42,60,12,20,62.444,2,4552.998538479986,3685.2285384799857,0.0,True,False,,,21,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d1200_dynwd08/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d1200_dynwd08__seed_042.log,no_route
d1200_dynwd12,d1200,1200,1202.828070248327,80,314,dynwd12,weekday,12,False,budget_plus_ratio,0,42,60,12,20,62.337,2,4542.7705384799865,3692.295538479985,0.0,True,False,,,16,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d1200_dynwd12/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d1200_dynwd12__seed_042.log,no_route
d1200_dynwd17,d1200,1200,1202.828070248327,80,314,dynwd17,weekday,17,False,budget_plus_ratio,0,42,60,12,20,62.125,2,4545.536538479986,3689.396538479986,0.0,True,False,,,18,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d1200_dynwd17/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d1200_dynwd17__seed_042.log,no_route
d1200_dynwd21,d1200,1200,1202.828070248327,80,314,dynwd21,weekday,21,False,budget_plus_ratio,0,42,60,12,20,41.711,2,4574.8555384799865,3696.7855384799855,0.0,True,False,,,18,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d1200_dynwd21/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d1200_dynwd21__seed_042.log,no_route
d1200_dynwe05,d1200,1200,1202.828070248327,80,314,dynwe05,weekend,05,False,budget_plus_ratio,0,42,60,12,20,39.931,2,4574.8555384799865,3696.7855384799855,0.0,True,False,,,18,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d1200_dynwe05/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d1200_dynwe05__seed_042.log,no_route
d1200_dynwe08,d1200,1200,1202.828070248327,80,314,dynwe08,weekend,08,False,budget_plus_ratio,0,42,60,12,20,40.501,2,4560.786538479986,3694.1365384799856,0.0,True,False,,,23,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d1200_dynwe08/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d1200_dynwe08__seed_042.log,no_route
d1200_dynwe12,d1200,1200,1202.828070248327,80,314,dynwe12,weekend,12,False,budget_plus_ratio,0,42,60,12,20,39.564,2,4541.914538479986,3689.3245384799857,0.0,True,False,,,21,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d1200_dynwe12/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d1200_dynwe12__seed_042.log,no_route
d1200_dynwe17,d1200,1200,1202.828070248327,80,314,dynwe17,weekend,17,False,budget_plus_ratio,0,42,60,12,20,39.338,2,4453.13089289245,3630.675892892451,0.053913772550394375,True,False,,,14,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d1200_dynwe17/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d1200_dynwe17__seed_042.log,no_route
d1200_dynwe21,d1200,1200,1202.828070248327,80,314,dynwe21,weekend,21,False,budget_plus_ratio,0,42,60,12,20,39.492,2,4574.8555384799865,3696.7855384799855,0.0,True,False,,,18,0.0,0.0,True,True,True,False,False,,2,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/runs/d1200_dynwe21/seed_042,/Users/tsun-yuanku/local/qa_course_platform_github_pages/SQA_Algorithm/outputs/kspwlo_routing/benchmarks/mode_compare_formal_01/mode_suites/budget_plus_ratio_warm_off/logs/d1200_dynwe21__seed_042.log,no_route
